environment,activity,direct_precision_baseline,direct_recall_baseline,direct_f1_baseline,slot_precision_baseline,slot_recall_baseline,slot_f1_baseline,support_baseline,direct_mean_probability_baseline,slot_mean_probability_baseline,direct_precision_strict_lejepa,direct_recall_strict_lejepa,direct_f1_strict_lejepa,slot_precision_strict_lejepa,slot_recall_strict_lejepa,slot_f1_strict_lejepa,support_strict_lejepa,direct_mean_probability_strict_lejepa,slot_mean_probability_strict_lejepa,direct_precision_delta,direct_recall_delta,direct_f1_delta,slot_precision_delta,slot_recall_delta,slot_f1_delta
classroom,jump,70.58320645951993,75.69620253164558,71.74958910752551,68.8297655608792,75.44303797468353,70.71570424998383,79.0,0.2925743818283081,0.31135644018650055,62.61799837752333,86.32911392405063,72.43818345864739,60.845295863477794,82.78481012658229,70.00862395453791,79.0,0.3340356290340424,0.3432263195514679,-7.9652080819966,10.632911392405049,0.6885943511218784,-7.984469697401401,7.341772151898752,-0.7070802954459197
classroom,lie_down,77.73948065712771,82.17391304347827,79.7168278918416,78.46508673183898,72.3913043478261,75.11091778644679,92.0,0.3212919294834137,0.3113594353199005,75.94452429047055,75.21739130434783,75.21911046322157,73.27912377742055,68.26086956521739,70.18837274058966,92.0,0.2954662799835205,0.29513880610466003,-1.7949563666571606,-6.956521739130437,-4.497717428620035,-5.185962954418429,-4.1304347826087024,-4.9225450458571345
classroom,pick_up,55.27370478983382,78.78787878787878,64.1038000977517,55.70663238650591,75.75757575757575,63.74187571876573,66.0,0.3392413854598999,0.3522497057914734,57.65644955300128,76.66666666666666,65.72172869147659,59.193516096703874,78.48484848484847,67.45889732236981,66.0,0.29583300948143004,0.3162420094013214,2.3827447631674588,-2.1212121212121247,1.6179285937248835,3.486883710197965,2.7272727272727195,3.717021603604074
classroom,rotation,68.98319798551698,76.08695652173913,71.75977399103307,66.05150436021123,74.78260869565217,69.49545503206039,92.0,0.32425154447555543,0.33488988876342773,67.30283359510207,82.17391304347825,73.69364216259665,63.91484109707837,79.1304347826087,70.62134536792057,92.0,0.33277244567871095,0.34555642008781434,-1.6803643904149084,6.0869565217391255,1.9338681715635744,-2.136663263132853,4.34782608695653,1.125890335860177
classroom,sit_down,61.81097327657515,75.32467532467533,67.58569872762898,59.112330877750495,71.42857142857143,64.57109363932322,77.0,0.3309807777404785,0.3393495619297028,59.2199733421822,72.20779220779221,64.9136796181571,57.55662431209721,72.98701298701299,64.18970690638571,77.0,0.31538898348808286,0.33430358171463015,-2.590999934392947,-3.116883116883116,-2.6720191094718757,-1.5557065656532814,1.558441558441558,-0.38138673293751424
classroom,stand_up,70.09481439868946,61.348314606741575,63.63567506168074,66.97669028903705,58.42696629213483,61.761566185834724,89.0,0.2852539777755737,0.3065883249044418,68.36573134643838,64.04494382022472,65.99337041367671,65.67479789899906,64.26966292134833,64.74283620215104,89.0,0.28694342970848086,0.31359193921089173,-1.7290830522510845,2.696629213483142,2.3576953519959716,-1.3018923900379917,5.842696629213499,2.9812700163163157
classroom,walk,96.3955996721954,94.10526315789474,95.20507556822822,96.38192199207461,89.26315789473685,92.63887952463081,95.0,0.269379585981369,0.2716267824172974,93.86545905978736,93.05263157894737,93.35361536981266,93.8692401052458,87.15789473684211,90.25305019210876,95.0,0.2862933695316315,0.282105153799057,-2.530140612408047,-1.05263157894737,-1.851460198415566,-2.5126818868288154,-2.10526315789474,-2.38582933252205
classroom,wave,68.49874856628762,82.09302325581396,73.93606856534805,65.28427128427128,74.65116279069767,69.0175762272435,86.0,0.34322410821914673,0.3416707515716553,71.5996925977781,84.88372093023256,77.6605726772095,67.16090812329978,77.20930232558139,71.78687667870594,86.0,0.3232163667678833,0.3299258708953857,3.100944031490485,2.7906976744185954,3.7245041118614495,1.8766368390284924,2.558139534883722,2.769300451462442
empty_room,jump,64.60307692307693,80.75949367088609,71.06337988334833,62.28539413079036,75.69620253164558,67.36528271964303,79.0,0.31491912603378297,0.31967097520828247,67.1421743728091,80.50632911392405,73.02524521173052,64.26321184835118,79.24050632911391,70.8701984638362,79.0,0.2946833372116089,0.3177201449871063,2.539097449732168,-0.25316455696203377,1.9618653283821885,1.9778177175608178,3.5443037974683307,3.5049157441931698
empty_room,lie_down,75.9513908599051,81.08695652173914,78.18463828044123,74.13379051409147,75.43478260869566,74.53629580902557,92.0,0.32795739769935606,0.34147324562072756,78.7568368946252,76.52173913043478,77.50327311330196,74.42445234906207,70.65217391304347,72.28366185329284,92.0,0.2946524381637573,0.31362223625183105,2.8054460347200916,-4.565217391304358,-0.6813651671392762,0.2906618349705923,-4.782608695652186,-2.2526339557327333
