model,environment,seed,activity,direct_precision,direct_recall,direct_f1,slot_precision,slot_recall,slot_f1,support,direct_mean_probability,slot_mean_probability
baseline,classroom,43,walk,93.93939393939394,97.89473684210527,95.87628865979381,95.78947368421052,95.78947368421052,95.78947368421052,95,0.2905188798904419,0.29452255368232727
baseline,classroom,43,rotation,72.94117647058823,67.3913043478261,70.05649717514125,70.93023255813954,66.30434782608695,68.53932584269663,92,0.28343573212623596,0.2931692600250244
baseline,classroom,43,jump,81.9672131147541,63.29113924050633,71.42857142857143,78.46153846153847,64.55696202531645,70.83333333333334,79,0.2284880429506302,0.24545951187610626
baseline,classroom,43,wave,80.0,65.11627906976744,71.7948717948718,75.71428571428571,61.627906976744185,67.94871794871796,86,0.25715094804763794,0.27503493428230286
baseline,classroom,43,lie_down,80.0,78.26086956521739,79.12087912087912,84.0,68.47826086956522,75.44910179640718,92,0.30109816789627075,0.2925873398780823
baseline,classroom,43,pick_up,54.54545454545454,81.81818181818183,65.45454545454545,53.06122448979592,78.78787878787878,63.41463414634146,66,0.3326622545719147,0.35996997356414795
baseline,classroom,43,sit_down,58.252427184466015,77.92207792207793,66.66666666666666,57.14285714285714,77.92207792207793,65.93406593406593,77,0.33255821466445923,0.3643770217895508
baseline,classroom,43,stand_up,61.60714285714286,77.52808988764045,68.65671641791045,65.09433962264151,77.52808988764045,70.76923076923077,89,0.36325088143348694,0.3690459132194519
baseline,meeting_room,39,walk,93.06930693069307,98.94736842105263,95.91836734693877,93.93939393939394,97.89473684210527,95.87628865979381,95,0.30410951375961304,0.2958527207374573
baseline,meeting_room,39,rotation,76.05633802816901,58.69565217391305,66.25766871165644,81.08108108108108,65.21739130434783,72.28915662650603,92,0.2630467414855957,0.29473406076431274
baseline,meeting_room,39,jump,62.857142857142854,83.54430379746836,71.73913043478261,64.28571428571429,79.74683544303798,71.1864406779661,79,0.3186946511268616,0.320677250623703
baseline,meeting_room,39,wave,68.47826086956522,73.25581395348837,70.78651685393258,70.0,73.25581395348837,71.5909090909091,86,0.3228927254676819,0.34323129057884216
baseline,meeting_room,39,lie_down,85.71428571428571,78.26086956521739,81.81818181818183,84.81012658227847,72.82608695652173,78.3625730994152,92,0.2973102331161499,0.31557130813598633
baseline,meeting_room,39,pick_up,73.4375,71.21212121212122,72.3076923076923,64.86486486486487,72.72727272727273,68.57142857142857,66,0.24879060685634613,0.32451456785202026
baseline,meeting_room,39,sit_down,69.33333333333334,67.53246753246754,68.42105263157895,68.0,66.23376623376623,67.10526315789474,77,0.2859450578689575,0.3041265606880188
baseline,meeting_room,39,stand_up,71.21212121212122,52.80898876404494,60.64516129032258,68.75,61.79775280898876,65.08875739644971,89,0.25373467803001404,0.3042421340942383
baseline,meeting_room,40,walk,90.19607843137256,96.84210526315789,93.4010152284264,91.91919191919192,95.78947368421052,93.81443298969072,95,0.30461186170578003,0.30867651104927063
